"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN","date"
"Kansas",351.21,941,261.54,742,121.53,117,2014-04-07
"Kentucky",340.34,1161,183.17,1136,126.04,147,2014-04-07
"Louisiana",370.23,1218,243.66,1007,148.14,258,2014-04-07
"Maine",318.98,505,258.83,492,216.72,56,2014-04-07
"Montana",268.72,630,250.35,301,660.67,25,2014-04-07
"Nebraska",344.73,579,250.49,566,140.02,68,2014-04-07
"Nevada",267.71,1001,227.25,1072,243.46,66,2014-04-07
"New Hampshire",360.8,479,290.91,507,677.38,41,2014-04-07
"New Jersey",352.67,2482,291.23,3202,232.13,215,2014-04-07
"New Mexico",291.36,630,201.18,499,75.24,46,2014-04-07
"New York",350,6419,266.66,6654,205.61,523,2014-04-07
"North Carolina",353.94,3193,245.52,2226,150.41,251,2014-04-07
"North Dakota",391.94,165,364.13,237,347.51,17,2014-04-07
"Ohio",336.1,3435,215.24,3275,164.9,440,2014-04-07
"Oklahoma",366.68,858,230.49,788,121.24,151,2014-04-07
"Oregon",210.47,1790,185.95,1518,166.42,73,2014-04-07
"Maryland",376.28,2245,250.2,1808,189.87,166,2014-04-07
"Massachusetts",350.09,3218,294.2,2815,219.35,240,2014-04-07
"Michigan",295.17,3351,273.15,2870,228.49,245,2014-04-07
"Minnesota",367.59,1935,277.45,1809,186.51,106,2014-04-07
"Mississippi",341.86,476,146.76,408,141.39,118,2014-04-07
"Missouri",368.04,1786,245.08,1523,148.95,228,2014-04-07
"Pennsylvania",368.7,4399,267.7,3726,194.37,412,2014-04-07
"Rhode Island",331.15,584,259.21,407,201.75,34,2014-04-07
"South Carolina",344.69,1316,202.66,1055,186.19,138,2014-04-07
"South Dakota",388.48,178,354.49,193,124.17,21,2014-04-07
"Tennessee",356.48,1772,226.03,1430,189.4,173,2014-04-07
"Texas",340.02,6754,234.39,6593,142.45,960,2014-04-07
"Utah",290.98,770,241.28,801,189.95,49,2014-04-07
"Vermont",376.45,303,319.68,263,190.36,26,2014-04-07
"Virginia",371.26,2769,288.14,2279,225.22,233,2014-04-07
"Washington",233.91,2629,190.92,2673,143.67,121,2014-04-07
"West Virginia",358.09,430,214.48,425,158.25,46,2014-04-07
"Wisconsin",356.19,1811,270.55,1603,242.49,140,2014-04-07
"Wyoming",354.33,104,370.55,148,161.3,11,2014-04-07
"Alabama",341,1265,204.9,1135,143.76,144,2014-05-07
"Alaska",288.19,300,256.42,357,373.01,28,2014-05-07
"Arizona",300.82,2232,208.37,1948,190.59,262,2014-05-07
"Arkansas",352.11,687,183.76,648,129.02,128,2014-05-07
"California",246.05,13863,192.68,15156,191.4,900,2014-05-07
"Colorado",236.68,2607,196.74,2195,233.09,155,2014-05-07
"Connecticut",344.95,1478,272.34,1568,251.03,100,2014-05-07
"Delaware",369.76,405,228.59,323,209.72,38,2014-05-07
"District of Columbia",347,512,292,425,209.83,47,2014-05-07
"Florida",304.06,7775,217.53,6390,152.89,595,2014-05-07
"Georgia",328.82,3639,214.87,2716,153.3,260,2014-05-07
"Hawaii",314.53,377,267.52,419,165.55,28,2014-05-07
"Idaho",276.18,358,252.73,525,139.21,27,2014-05-07
"Illinois",356.36,4664,286.28,4286,189.41,386,2014-05-07
"Indiana",334.94,1951,210.36,1753,156.68,278,2014-05-07
"Iowa",368.73,802,289.4,784,247.1,110,2014-05-07
"Kansas",350.31,964,261.81,773,118.41,121,2014-05-07
"Kentucky",339.24,1200,182.78,1178,124.69,155,2014-05-07
"Louisiana",369.4,1256,244.64,1050,145.8,266,2014-05-07
"Maine",317.35,517,257.62,514,274.25,58,2014-05-07
"Montana",268.17,640,252.4,310,645.6,26,2014-05-07
"Nebraska",344.25,596,251.27,583,136.34,70,2014-05-07
"Nevada",268.39,1032,227.57,1109,244.08,67,2014-05-07
"New Hampshire",359.39,490,291.36,523,677.38,41,2014-05-07
"New Jersey",351.43,2550,290.72,3298,224.99,221,2014-05-07
"New Mexico",290.62,644,201,520,87.84,50,2014-05-07
"New York",348.92,6577,266.48,6864,205.18,532,2014-05-07
"North Carolina",352.04,3310,244.3,2324,150.56,257,2014-05-07
"North Dakota",399.39,173,350.39,245,334.13,18,2014-05-07
"Ohio",336.08,3533,216.45,3399,163.88,453,2014-05-07
"Oklahoma",366.38,878,234.87,823,119.23,158,2014-05-07
"Oregon",209.81,1822,185.71,1563,163.84,77,2014-05-07
"Maryland",374.46,2308,250.13,1874,188.84,169,2014-05-07
"Massachusetts",350.84,3310,294.11,2910,219.43,245,2014-05-07
"Michigan",295.34,3426,277.2,2967,275.43,252,2014-05-07
"Minnesota",366.95,1989,276.54,1889,183.45,108,2014-05-07
"Mississippi",340.66,494,146.42,426,140.57,120,2014-05-07
"Missouri",368.02,1832,243.12,1594,143.12,243,2014-05-07
"Pennsylvania",368.01,4517,267.54,3878,195.57,427,2014-05-07
"Rhode Island",330.62,595,258.53,418,208.36,35,2014-05-07
"South Carolina",342.62,1365,200.83,1086,186.91,139,2014-05-07
"South Dakota",382.94,183,351.85,203,123.94,22,2014-05-07
"Tennessee",355.08,1825,225.36,1485,187.46,176,2014-05-07
"Texas",339.1,6933,234,6836,142.7,990,2014-05-07
"Utah",290.11,794,240.01,828,201.13,52,2014-05-07
"Vermont",376.44,314,321.01,277,190.36,26,2014-05-07
"Virginia",370.03,2855,288.88,2373,222,241,2014-05-07
"Washington",233.39,2685,190.36,2762,141.86,124,2014-05-07
"West Virginia",355.06,444,214.78,433,156.1,48,2014-05-07
"Wisconsin",354.86,1859,271.99,1664,239.18,144,2014-05-07
"Wyoming",350.72,108,359.51,156,161.3,11,2014-05-07
"Alabama",340.59,1309,203.68,1177,146.12,151,2014-06-07
"Alaska",285.18,309,263.07,376,359.87,30,2014-06-07
"Arizona",302.48,2284,208.6,2009,186.22,272,2014-06-07
"Arkansas",349.87,710,184.18,666,126.41,132,2014-06-07
"California",245.69,14253,192.23,15694,189.77,933,2014-06-07
"Colorado",236.92,2677,196.48,2266,231.56,158,2014-06-07
"Connecticut",343.69,1514,272.85,1622,258.75,101,2014-06-07
"Delaware",368.97,410,225.19,338,204.86,39,2014-06-07
"District of Columbia",346.23,535,291.67,446,209.83,47,2014-06-07
"Florida",303.01,8025,217.82,6638,151.73,607,2014-06-07
"Georgia",326.97,3752,215.23,2827,145.33,269,2014-06-07
"Hawaii",313.34,383,276.72,435,165.55,28,2014-06-07
"Idaho",275.7,367,251.34,542,136.89,28,2014-06-07
"Illinois",356.23,4766,285.18,4430,189.96,396,2014-06-07
"Indiana",333.53,2011,210.89,1832,156.69,283,2014-06-07
"Iowa",366.99,821,289.86,817,247.1,110,2014-06-07
"Kansas",349.94,990,259.44,795,120.31,125,2014-06-07
"Kentucky",339.3,1238,182.22,1223,124.06,159,2014-06-07
"Louisiana",367.87,1302,244.39,1097,143.78,276,2014-06-07
"Maine",317.45,529,256.46,532,272.95,59,2014-06-07
"Montana",267.88,653,252.01,316,632.31,27,2014-06-07
"Nebraska",343.6,608,250.53,603,133.37,73,2014-06-07
"Nevada",268.1,1056,230.13,1162,238.93,69,2014-06-07
"New Hampshire",359.18,505,290.47,537,657.98,43,2014-06-07
"New Jersey",350.55,2611,289.52,3402,224.74,222,2014-06-07
"New Mexico",291.8,662,201.92,534,85.81,52,2014-06-07
"New York",347.49,6726,266.08,7105,205.91,542,2014-06-07
"North Carolina",350.61,3412,245.25,2418,151.44,265,2014-06-07
"North Dakota",400.69,177,362.88,255,348.9,19,2014-06-07
"Ohio",335.91,3620,216.62,3525,163.26,470,2014-06-07
"Oklahoma",365.46,900,233.74,857,118.49,161,2014-06-07
"Oregon",209.4,1863,185.31,1612,162.91,79,2014-06-07
"Maryland",372.16,2373,250.82,1955,187.17,174,2014-06-07
"Massachusetts",350.78,3416,292.93,3017,221.92,249,2014-06-07
"Michigan",294.42,3505,276.64,3069,273.42,257,2014-06-07
"Minnesota",359.5,2041,278.42,1964,181.83,109,2014-06-07
"Mississippi",337.23,516,146.66,448,146.82,123,2014-06-07
"Missouri",364.76,1882,244.34,1663,143.53,260,2014-06-07
"Pennsylvania",367.25,4643,267.5,4016,193.06,436,2014-06-07
"Rhode Island",328.25,615,256.3,432,203.71,38,2014-06-07
"South Carolina",343.76,1402,201.61,1126,189.58,142,2014-06-07
"South Dakota",382.21,187,351.01,208,123.94,22,2014-06-07
"Tennessee",354.31,1890,224.59,1537,186.55,177,2014-06-07
"Texas",338.19,7106,233.24,7057,142.79,1018,2014-06-07
"Utah",289,811,239.19,856,204.58,56,2014-06-07
"Vermont",376.94,316,320.46,284,190.36,26,2014-06-07
"Virginia",369.07,2942,290.24,2474,222.77,243,2014-06-07
"Washington",232.32,2755,190.09,2848,141.7,130,2014-06-07
"West Virginia",355.07,463,215.37,444,155.8,49,2014-06-07
"Wisconsin",354.19,1906,271.28,1725,237.56,145,2014-06-07
"Wyoming",351.25,109,359.79,158,161.3,12,2014-06-07
"Alabama",337.32,1889,206.09,1807,NA,218,2015-06-07
"Alaska",293.43,406,265.39,575,NA,41,2015-06-07
"Arizona",296.71,2991,208.37,2872,NA,344,2015-06-07
"Arkansas",333.86,991,211.88,992,NA,171,2015-06-07
"California",241.91,18483,187.88,22023,NA,1232,2015-06-07
"Colorado",241.11,3597,194.84,3428,NA,215,2015-06-07
"Connecticut",332.33,2116,264.79,2512,NA,146,2015-06-07
"Delaware",353.64,566,241.95,506,NA,47,2015-06-07
"District of Columbia",345.32,763,282.09,727,NA,54,2015-06-07
"Florida",297.04,10812,215.89,9701,NA,782,2015-06-07
"Georgia",317.03,5223,216.58,4203,NA,346,2015-06-07
"Hawaii",302.22,539,259.02,620,NA,32,2015-06-07
"Idaho",273.38,510,241.6,797,NA,42,2015-06-07
"Illinois",348.91,6383,279.49,6525,NA,509,2015-06-07
"Indiana",328.37,2754,218,2645,NA,362,2015-06-07
"Iowa",361.66,1102,287.66,1225,NA,136,2015-06-07
"Kansas",345.95,1296,260.93,1201,NA,154,2015-06-07
"Kentucky",341.23,1706,184.61,1771,NA,201,2015-06-07
"Louisiana",357.83,1860,240.69,1672,NA,369,2015-06-07
"Maine",304.57,701,232.77,771,NA,73,2015-06-07
"Montana",264.57,787,238.3,446,NA,36,2015-06-07
"Nebraska",330.29,789,239.66,858,NA,78,2015-06-07
"Nevada",266.04,1432,223.97,1652,NA,89,2015-06-07
"New Hampshire",349.72,664,285.17,757,NA,58,2015-06-07
"New Jersey",342.49,3449,283.33,4940,NA,287,2015-06-07
"New Mexico",282.77,904,217.46,775,NA,73,2015-06-07
"New York",338.27,8892,261.05,10162,NA,683,2015-06-07
"North Carolina",341.85,4753,244.1,3624,NA,357,2015-06-07
"North Dakota",383.8,250,338.38,401,NA,27,2015-06-07
"Ohio",331.03,4892,219.2,5085,NA,619,2015-06-07
"Oklahoma",348.62,1298,241.65,1282,NA,215,2015-06-07
"Oregon",202.1,2532,178.16,2404,NA,113,2015-06-07
"Maryland",359.29,3269,265.44,2942,NA,214,2015-06-07
"Massachusetts",339.57,4494,280.33,4457,NA,324,2015-06-07
"Michigan",282.36,4491,263.09,4318,NA,329,2015-06-07
"Minnesota",340.02,2699,269.68,2990,NA,149,2015-06-07
"Mississippi",331.03,797,157.17,746,NA,176,2015-06-07
"Missouri",347.48,2552,248.07,2497,NA,334,2015-06-07
"Pennsylvania",358.23,6203,268.28,5907,NA,562,2015-06-07
"Rhode Island",313.51,806,248.89,682,NA,47,2015-06-07
"South Carolina",333.87,2000,208.65,1690,NA,188,2015-06-07
"South Dakota",358.46,254,340.24,303,NA,29,2015-06-07
"Tennessee",345.21,2594,227.05,2300,NA,260,2015-06-07
"Texas",326.08,9581,232.45,10260,NA,1287,2015-06-07
"Utah",285.11,1080,232.95,1230,NA,71,2015-06-07
"Vermont",364.83,408,304.7,434,NA,32,2015-06-07
"Virginia",361.68,4017,290.06,3633,NA,320,2015-06-07
"Washington",231.6,3779,187.26,4142,NA,183,2015-06-07
"West Virginia",357.52,638,224.12,649,NA,64,2015-06-07
"Wisconsin",344.93,2553,272.03,2686,NA,183,2015-06-07
"Wyoming",313.72,148,317.38,226,NA,13,2015-06-07
"Alabama",340.72,1343,203.54,1201,147.74,156,2014-07-07
"Alaska",287.97,319,260.96,388,407.31,32,2014-07-07
"Arizona",300.54,2332,209.36,2063,186.79,276,2014-07-07
"Arkansas",349.29,727,183.17,697,126.2,134,2014-07-07
"California",245.39,14628,191.87,16190,189.29,955,2014-07-07
"Colorado",238.2,2744,196.62,2339,229.01,161,2014-07-07
"Connecticut",343.13,1553,271.63,1681,254.19,104,2014-07-07
"Delaware",369.14,429,228.77,360,204.86,39,2014-07-07
"District of Columbia",345.89,552,290.76,466,209.83,47,2014-07-07
"Florida",302.32,8239,217.87,6857,152.01,617,2014-07-07
"Georgia",326.82,3866,215.52,2912,146.79,274,2014-07-07
"Hawaii",312.1,393,273.96,449,165.55,28,2014-07-07
"Idaho",277.13,382,250.45,569,136.89,28,2014-07-07
"Illinois",355.74,4897,283.39,4575,190.77,403,2014-07-07
"Indiana",332.97,2077,210.73,1890,155.83,289,2014-07-07
"Iowa",367.36,844,289.85,846,249.3,112,2014-07-07
"Kansas",350.36,1010,261.41,825,122.25,128,2014-07-07
"Kentucky",338.22,1279,172.99,1269,123.79,162,2014-07-07
"Louisiana",366.74,1328,245.57,1135,143.14,281,2014-07-07
"Maine",317.43,537,246.06,554,272.95,59,2014-07-07
"Montana",267.33,669,251.01,320,609.45,28,2014-07-07
"Nebraska",343.26,616,250.61,612,133.37,73,2014-07-07
"Nevada",268.12,1079,229.18,1195,233.04,74,2014-07-07
"New Hampshire",358.36,517,289.63,561,643,44,2014-07-07
"New Jersey",349.87,2678,288.34,3516,224.99,226,2014-07-07
"New Mexico",290.55,678,202.1,553,96.93,56,2014-07-07
"New York",347.28,6889,265.8,7357,209.46,555,2014-07-07
"North Carolina",350.4,3513,245.14,2495,149.37,272,2014-07-07
"North Dakota",399.42,181,364.82,264,335.8,20,2014-07-07
"Ohio",335.09,3706,217.38,3650,162.55,483,2014-07-07
"Oklahoma",366.28,924,231.62,895,118.22,163,2014-07-07
"Oregon",208.87,1913,184.91,1656,175.53,80,2014-07-07
"Maryland",371.3,2456,251.04,2020,187.53,178,2014-07-07
"Massachusetts",350.51,3528,290.42,3118,221.92,256,2014-07-07
"Michigan",292.66,3585,276.13,3190,270.65,263,2014-07-07
"Minnesota",358.54,2083,277.51,2041,184.78,112,2014-07-07
"Mississippi",335.57,527,145.89,457,147.6,126,2014-07-07
"Missouri",355.22,1939,244.29,1745,146.35,267,2014-07-07
"Pennsylvania",366.68,4775,266.81,4147,191.84,444,2014-07-07
"Rhode Island",323.95,628,256.63,449,199.96,39,2014-07-07
"South Carolina",343.37,1438,202.08,1172,187.93,146,2014-07-07
"South Dakota",377.86,190,351.27,216,123.94,22,2014-07-07
"Tennessee",353.05,1948,225,1593,186,186,2014-07-07
"Texas",338.01,7280,232.26,7279,144.61,1042,2014-07-07
"Utah",289.02,834,238.91,891,204.58,56,2014-07-07
"Vermont",375.49,326,318.75,296,190.36,27,2014-07-07
"Virginia",368.5,3019,291.24,2553,222.89,249,2014-07-07
"Washington",232,2867,190.13,2955,138.47,136,2014-07-07
"West Virginia",354.71,473,214.94,463,157.32,50,2014-07-07
"Wisconsin",353.29,1945,271.58,1787,237.56,145,2014-07-07
"Wyoming",351.78,110,360.09,160,161.3,12,2014-07-07
"Alabama",340.52,1384,204.09,1246,145.79,160,2014-08-07
"Alaska",288.45,325,261.29,401,403.33,33,2014-08-07
"Arizona",300.54,2396,209.32,2126,185.64,279,2014-08-07
"Arkansas",348.22,744,180.47,718,126.2,134,2014-08-07
"California",245.36,15012,191.55,16757,188.74,978,2014-08-07
"Colorado",237.86,2821,196.99,2429,227.49,167,2014-08-07
"Connecticut",341.44,1613,273.02,1739,249.99,107,2014-08-07
"Delaware",366.63,442,230.52,377,204.86,39,2014-08-07
"District of Columbia",346.33,573,287.37,489,209.83,47,2014-08-07
"Florida",301.64,8440,217.85,7104,151.63,633,2014-08-07
"Georgia",326.43,3967,216.72,3005,145.09,279,2014-08-07
"Hawaii",309.84,410,265.58,456,174.23,29,2014-08-07
"Idaho",276.21,392,249.33,584,165.19,31,2014-08-07
"Illinois",355.73,5046,283.21,4761,193.54,409,2014-08-07
"Indiana",333,2128,211.51,1951,155.76,296,2014-08-07
"Iowa",367.25,868,290.87,881,249.3,112,2014-08-07
"Kansas",351.44,1047,262.5,871,121.73,130,2014-08-07
"Kentucky",337.97,1318,182.8,1309,123.13,165,2014-08-07
"Louisiana",366.64,1376,243.92,1182,143.98,290,2014-08-07
"Maine",317.4,554,253.76,570,272.95,59,2014-08-07
"Montana",266.81,682,246.08,334,571.68,30,2014-08-07
"Nebraska",341.41,633,250.37,631,133.37,73,2014-08-07
"Nevada",268.91,1112,229.4,1246,235.3,75,2014-08-07
"New Hampshire",358.15,533,290.65,577,617.09,46,2014-08-07
"New Jersey",349.15,2757,288.43,3645,226.25,235,2014-08-07
"New Mexico",289.26,699,201.26,567,94.88,58,2014-08-07
"New York",346.95,7078,265.47,7619,208.09,566,2014-08-07
"North Carolina",349.44,3624,245.93,2605,148.47,281,2014-08-07
"North Dakota",405.46,186,364.85,271,336.51,21,2014-08-07
"Ohio",334.82,3812,217.58,3753,165.75,501,2014-08-07
"Oklahoma",363.59,951,233.03,923,122.25,171,2014-08-07
"Oregon",208.78,1975,183.89,1723,178.05,82,2014-08-07
"Maryland",370.47,2535,252.89,2119,187.53,178,2014-08-07
"Massachusetts",350.19,3635,288.96,3245,221.92,267,2014-08-07
"Michigan",291.73,3657,274.98,3278,266.25,270,2014-08-07
"Minnesota",357.49,2137,276.24,2124,184.7,114,2014-08-07
"Mississippi",335.82,538,146.62,471,145.6,129,2014-08-07
"Missouri",357.71,1988,245.45,1814,146.1,273,2014-08-07
"Pennsylvania",365.95,4923,267.49,4298,193.18,460,2014-08-07
"Rhode Island",322.36,645,258.2,469,199.96,40,2014-08-07
"South Carolina",342.22,1495,201.66,1220,186.12,150,2014-08-07
"South Dakota",377.27,195,350.04,226,123.94,22,2014-08-07
"Tennessee",353.51,2004,225.76,1648,184.97,195,2014-08-07
"Texas",337.4,7458,233.37,7523,143.98,1053,2014-08-07
"Utah",286.76,862,238.1,917,207.35,57,2014-08-07
"Vermont",375.19,329,316.9,311,190.36,27,2014-08-07
"Virginia",367.09,3098,292.96,2646,224.37,256,2014-08-07
"Washington",232.68,2990,190.06,3104,137.75,140,2014-08-07
"West Virginia",354.38,489,215,471,145.37,55,2014-08-07
"Wisconsin",352.91,1999,271.65,1875,250.79,147,2014-08-07
"Wyoming",349.69,116,349.9,166,161.3,12,2014-08-07
"Alabama",340.91,1409,204.84,1284,NA,161,2014-09-07
"Alaska",291.32,330,261.06,418,NA,34,2014-09-07
"Arizona",300.44,2427,209.33,2167,NA,285,2014-09-07
"Arkansas",346.45,767,180.18,738,NA,135,2014-09-07
"California",245.08,15274,191.25,17118,NA,998,2014-09-07
"Colorado",238.29,2871,197.14,2491,NA,168,2014-09-07
"Connecticut",341.08,1646,271.12,1782,NA,108,2014-09-07
"Delaware",365.55,452,230.7,385,NA,39,2014-09-07
"District of Columbia",348.79,585,287.77,504,NA,48,2014-09-07
"Florida",302.5,8604,217.61,7301,NA,643,2014-09-07
"Georgia",326.69,4058,216.86,3095,NA,284,2014-09-07
"Hawaii",310.32,419,268.32,471,NA,29,2014-09-07
"Idaho",276.18,398,249.13,595,NA,32,2014-09-07
"Illinois",355.92,5155,283.27,4893,NA,413,2014-09-07
"Indiana",332.38,2177,211.51,2005,NA,304,2014-09-07
"Iowa",365.6,885,288.62,909,NA,113,2014-09-07
"Kansas",351.29,1075,262.31,892,NA,130,2014-09-07
"Kentucky",337.92,1346,183.59,1335,NA,167,2014-09-07
"Louisiana",366.48,1399,244.6,1211,NA,293,2014-09-07
"Maine",315.05,566,254.75,584,NA,59,2014-09-07
"Montana",266.71,689,251.1,339,NA,30,2014-09-07
"Nebraska",340,647,250.87,649,NA,74,2014-09-07
"Nevada",268.1,1134,229.78,1273,NA,76,2014-09-07
"New Hampshire",356.63,542,291.56,591,NA,46,2014-09-07
"New Jersey",348.53,2807,287.7,3738,NA,239,2014-09-07
"New Mexico",289.25,717,201.91,582,NA,58,2014-09-07
"New York",346.03,7218,265.19,7806,NA,577,2014-09-07
"North Carolina",348.23,3692,245.87,2691,NA,287,2014-09-07
"North Dakota",405.46,186,348.53,277,NA,21,2014-09-07
"Ohio",334.38,3880,217.48,3854,NA,509,2014-09-07
"Oklahoma",363.91,970,232.76,945,NA,175,2014-09-07
"Oregon",208.25,2013,182.92,1777,NA,85,2014-09-07
"Maryland",370.19,2591,252.82,2174,NA,184,2014-09-07
"Massachusetts",350.02,3701,288.5,3347,NA,271,2014-09-07
"Michigan",290.92,3728,274.18,3349,NA,275,2014-09-07
"Minnesota",354.71,2174,276.54,2169,NA,116,2014-09-07
"Mississippi",337.65,550,146.27,483,NA,132,2014-09-07
"Missouri",357.94,2024,245.62,1869,NA,275,2014-09-07
"Pennsylvania",365.79,5042,267.9,4403,NA,470,2014-09-07
"Rhode Island",321.07,659,258.39,478,NA,42,2014-09-07
"South Carolina",342.06,1521,202.92,1246,NA,153,2014-09-07
"South Dakota",377.57,201,348.33,228,NA,22,2014-09-07
"Tennessee",352.82,2034,225.75,1679,NA,199,2014-09-07
"Texas",336.87,7576,232.37,7686,NA,1073,2014-09-07
"Utah",287.55,875,238.83,942,NA,58,2014-09-07
"Vermont",374.81,334,316.49,323,NA,29,2014-09-07
"Virginia",366.83,3174,291.71,2735,NA,259,2014-09-07
"Washington",232.86,3045,189.64,3176,NA,144,2014-09-07
"West Virginia",355.49,502,215.95,490,NA,55,2014-09-07
"Wisconsin",352.36,2040,271.9,1937,NA,151,2014-09-07
"Wyoming",328.54,118,356.25,170,NA,12,2014-09-07
"Alabama",339.36,1430,204.39,1315,NA,164,2014-10-07
"Alaska",291.47,333,261.97,427,NA,35,2014-10-07
"Arizona",300.28,2453,210.39,2203,NA,291,2014-10-07
"Arkansas",345.46,781,180.37,750,NA,138,2014-10-07
"California",245,15471,190.86,17437,NA,1002,2014-10-07
"Colorado",237.83,2914,196.94,2543,NA,169,2014-10-07
"Connecticut",340.76,1683,270.78,1832,NA,113,2014-10-07
"Delaware",365.31,459,232.76,396,NA,39,2014-10-07
"District of Columbia",351.04,604,288.92,518,NA,48,2014-10-07
"Florida",301.98,8754,217.9,7466,NA,651,2014-10-07
"Georgia",326.67,4124,217.24,3145,NA,287,2014-10-07
"Hawaii",310.34,421,268.21,476,NA,29,2014-10-07
"Idaho",275.82,405,247.86,609,NA,34,2014-10-07
"Illinois",356.32,5239,283.21,5026,NA,420,2014-10-07
"Indiana",332.65,2218,213.94,2051,NA,309,2014-10-07
"Iowa",365.64,900,288.93,925,NA,114,2014-10-07
"Kansas",350.69,1084,262.74,908,NA,130,2014-10-07
"Kentucky",338.75,1371,174.16,1359,NA,170,2014-10-07
"Louisiana",365.52,1419,243.51,1237,NA,299,2014-10-07
"Maine",314.94,570,244.97,599,NA,59,2014-10-07
"Montana",266.25,699,250.51,345,NA,30,2014-10-07
"Nebraska",340.23,657,249.69,663,NA,74,2014-10-07
"Nevada",268.09,1148,229.66,1299,NA,76,2014-10-07
"New Hampshire",356.62,550,290.94,603,NA,47,2014-10-07
"New Jersey",348.37,2860,287.62,3819,NA,240,2014-10-07
"New Mexico",288.35,731,202.84,596,NA,59,2014-10-07
"New York",346.48,7324,264.86,7954,NA,584,2014-10-07
"North Carolina",347.88,3759,245.34,2735,NA,289,2014-10-07
"North Dakota",393.75,194,347.27,288,NA,22,2014-10-07
"Ohio",334.24,3942,217.87,3916,NA,514,2014-10-07
"Oklahoma",365.3,997,234.1,968,NA,177,2014-10-07
"Oregon",208.03,2039,182.13,1811,NA,85,2014-10-07
"Maryland",369.56,2628,253.17,2224,NA,185,2014-10-07
"Massachusetts",349.33,3756,288.38,3424,NA,274,2014-10-07
"Michigan",290.74,3779,273.42,3399,NA,277,2014-10-07
"Minnesota",354.24,2191,275.63,2219,NA,118,2014-10-07
"Mississippi",337.31,558,145.49,494,NA,133,2014-10-07
"Missouri",357.78,2061,246.25,1915,NA,278,2014-10-07
"Pennsylvania",365.15,5113,268.03,4491,NA,478,2014-10-07
"Rhode Island",319.82,670,258.01,488,NA,43,2014-10-07
"South Carolina",340.71,1550,203.63,1265,NA,156,2014-10-07
"South Dakota",377.14,205,348.54,233,NA,24,2014-10-07
"Tennessee",351.79,2066,226.89,1712,NA,202,2014-10-07
"Texas",336.63,7673,232.53,7810,NA,1088,2014-10-07
"Utah",287.96,889,238.44,961,NA,58,2014-10-07
"Vermont",374.09,336,313.62,334,NA,29,2014-10-07
"Virginia",366.59,3223,291.9,2792,NA,262,2014-10-07
"Washington",233.24,3093,189.43,3246,NA,145,2014-10-07
"West Virginia",354.44,509,217.15,496,NA,57,2014-10-07
"Wisconsin",352.21,2078,272.24,1983,NA,154,2014-10-07
"Wyoming",328.51,119,355.77,173,NA,12,2014-10-07
"Alabama",339,1461,204.69,1354,NA,173,2014-11-07
"Alaska",290.95,339,261.25,444,NA,37,2014-11-07
"Arizona",300.46,2507,210.39,2267,NA,297,2014-11-07
"Arkansas",343.89,809,206.34,775,NA,140,2014-11-07
"California",244.82,15780,190.76,17925,NA,1031,2014-11-07
"Colorado",236.96,2996,196.09,2643,NA,172,2014-11-07
"Connecticut",340.25,1735,270.29,1917,NA,116,2014-11-07
"Delaware",363.53,470,234.8,407,NA,39,2014-11-07
"District of Columbia",348.8,623,286.23,542,NA,48,2014-11-07
"Florida",301.48,8950,217.89,7673,NA,663,2014-11-07
"Georgia",325.68,4208,217.3,3212,NA,290,2014-11-07
"Hawaii",310.97,428,267.45,484,NA,29,2014-11-07
"Idaho",276.01,421,247.12,629,NA,35,2014-11-07
"Illinois",355.76,5340,283.2,5174,NA,431,2014-11-07
"Indiana",332.38,2266,213.86,2111,NA,315,2014-11-07
"Iowa",364.77,928,288.24,961,NA,115,2014-11-07
"Kansas",351.02,1110,261.3,936,NA,133,2014-11-07
"Kentucky",339.47,1401,182.47,1407,NA,174,2014-11-07
"Louisiana",364.83,1442,241.26,1270,NA,302,2014-11-07
"Maine",315.23,590,243.52,614,NA,59,2014-11-07
"Montana",265.92,715,241.74,351,NA,31,2014-11-07
"Nebraska",341.1,671,247.62,678,NA,74,2014-11-07
"Nevada",267.19,1171,229.15,1330,NA,78,2014-11-07
"New Hampshire",355.83,563,296.61,624,NA,51,2014-11-07
"New Jersey",347.93,2915,287.63,3929,NA,244,2014-11-07
"New Mexico",288.48,750,213.54,613,NA,61,2014-11-07
"New York",345.84,7487,264.55,8172,NA,597,2014-11-07
"North Carolina",347.37,3862,245.66,2826,NA,298,2014-11-07
"North Dakota",397.2,201,341.75,305,NA,22,2014-11-07
"Ohio",333.61,4033,217.67,4015,NA,526,2014-11-07
"Oklahoma",362.84,1028,234.61,998,NA,182,2014-11-07
"Oregon",207.39,2085,181.11,1883,NA,89,2014-11-07
"Maryland",368.3,2709,255.74,2293,NA,188,2014-11-07
"Massachusetts",348.46,3834,287.82,3531,NA,276,2014-11-07
"Michigan",290.59,3850,271.33,3502,NA,286,2014-11-07
"Minnesota",353.75,2261,274.69,2307,NA,121,2014-11-07
"Mississippi",337.62,577,147.11,510,NA,136,2014-11-07
"Missouri",352.94,2110,246.33,1975,NA,283,2014-11-07
"Pennsylvania",364.03,5265,268.79,4631,NA,484,2014-11-07
"Rhode Island",318.36,682,260.23,510,NA,46,2014-11-07
"South Carolina",339.8,1589,203.2,1312,NA,159,2014-11-07
"South Dakota",376.77,209,348.11,234,NA,25,2014-11-07
"Tennessee",351.22,2121,226.51,1779,NA,205,2014-11-07
